H_estimate,H_error,mu,sigma,T
-0.44009,0.000399209,0.787272,0.639446,0.000954772
-0.440774,0.000398111,0.787071,0.638106,0.000954772
-0.440472,0.00040858,0.789796,0.638319,0.000943788
-0.440917,0.000398527,0.789796,0.638319,0.000943788
-0.440431,0.000413316,0.790609,0.638091,0.000943788
-0.440094,0.000414565,0.789432,0.639865,0.000943788
-0.440546,0.000407868,0.789246,0.637498,0.000943788
-0.441299,0.000393996,0.789088,0.636826,0.000943788
-0.440757,0.000405134,0.787539,0.637819,0.000943788
-0.44104,0.000393531,0.787715,0.63698,0.000943788
-0.441028,0.000405268,0.788096,0.638039,0.000943788
-0.440729,0.00040875,0.789199,0.638272,0.000943788
-0.440996,0.000391662,0.787821,0.638154,0.000943788
-0.441411,0.000400056,0.787821,0.638154,0.000943788
-0.440424,0.000403317,0.789379,0.637965,0.000943788
-0.440928,0.000397984,0.790677,0.637155,0.000943788
-0.440933,0.000404434,0.790943,0.637233,0.000943788
-0.441841,0.000388358,0.790511,0.636209,0.000943788
-0.441463,0.000397053,0.792749,0.635629,0.000943788
-0.441785,0.000388197,0.792749,0.635629,0.000943788
-0.441568,0.000395092,0.793138,0.635732,0.000943788
-0.44217,0.000391253,0.793119,0.634054,0.000943788
-0.442233,0.000392202,0.793119,0.634054,0.000943788
-0.441703,0.000389495,0.792825,0.633952,0.000943788
-0.441773,0.000404397,0.793052,0.633855,0.000943788
-0.442058,0.000390925,0.793052,0.633855,0.000943788
-0.441655,0.000388345,0.793052,0.633855,0.000943788
-0.442025,0.000396617,0.792427,0.633669,0.000943788
-0.442456,0.000380261,0.792427,0.633669,0.000943788
-0.44209,0.000386055,0.7911,0.633907,0.000943788
-0.441917,0.000394767,0.791082,0.633299,0.000943788
-0.441991,0.000386173,0.790912,0.632393,0.000943788
-0.442584,0.000385947,0.791392,0.632698,0.000943788
-0.441929,0.00038578,0.792159,0.632195,0.000943788
-0.442473,0.000376956,0.792152,0.633041,0.000943788
-0.442529,0.000376126,0.791534,0.633229,0.000943788
-0.442051,0.000380527,0.791534,0.633229,0.000943788
-0.441782,0.00038676,0.791505,0.633212,0.000943788
