H_estimate,H_error
-0.445488,0.00354764
-0.445471,0.00354095
-0.445566,0.00353554
-0.445329,0.00353682
-0.44534,0.00353018
-0.445292,0.00352387
-0.445279,0.00351727
-0.445138,0.00351352
-0.445242,0.00350849
-0.445488,0.00351053
-0.44532,0.003508
-0.445428,0.00350313
-0.445392,0.00349681
-0.44535,0.00349058
-0.445486,0.00348678
-0.445467,0.00348039
-0.444533,0.00359722
-0.444537,0.00359061
-0.444579,0.00358426
-0.444171,0.00360082
-0.444244,0.00359497
-0.444408,0.00359215
-0.444501,0.00358682
-0.444481,0.00358035
-0.444262,0.00358059
-0.44444,0.00357852
-0.444523,0.00357302
-0.444623,0.00356796
-0.444572,0.00356189
-0.444373,0.00356101
-0.444283,0.00355576
-0.444302,0.00354944
-0.444126,0.00354743
-0.444175,0.00354142
-0.444219,0.00353538
-0.444194,0.00352917
-0.444507,0.00353679
-0.444636,0.00353286
-0.444504,0.00352907
-0.444293,0.00352912
-0.444205,0.003524
-0.444299,0.00351905
-0.444177,0.00351498
-0.444252,0.0035096
-0.444424,0.00350766
-0.444497,0.00350229
-0.444562,0.00349678
-0.444423,0.00349347
-0.444601,0.00349192
-0.44463,0.00348597
-0.444685,0.00348037
-0.444524,0.0034781
-0.444389,0.00347472
-0.444221,0.00347278
-0.444291,0.00346752
-0.443969,0.00347649
-0.443875,0.00347179
-0.44385,0.00346593
-0.443745,0.00346161
-0.443614,0.00345818
-0.443683,0.00345299
-0.44379,0.00344875
-0.443793,0.00344289
-0.443711,0.00343804
-0.443695,0.00343226
-0.44369,0.00342646
-0.443585,0.00342228
-0.443728,0.00341952
-0.4437,0.00341389
-0.443666,0.00340832
-0.443557,0.00340438
-0.442426,0.00358191
-0.442365,0.00357643
-0.442506,0.00357323
-0.442449,0.00356772
-0.442567,0.00356371
-0.442485,0.00355873
-0.442507,0.0035529
-0.442637,0.0035494
-0.442747,0.00354524
-0.442675,0.00354013
-0.442534,0.00353709
-0.442509,0.00353137
-0.442326,0.0035303
-0.442277,0.00352486
-0.442224,0.0035195
-0.442352,0.00351611
-0.442302,0.00351074
-0.442314,0.00350505
-0.4424,0.0035004
-0.442365,0.00349489
-0.442292,0.00349
-0.442131,0.00348808
-0.442236,0.00348403
-0.442222,0.00347844
